time,temperature,temperature_digits
01,10,51
01,10,51
01,10,51
02,10,50
03,10,4F
04,0F,4D
05,0F,4C
06,0E,4C
07,0D,4C
08,0D,4C
09,0D,4D
0A,0D,4D
0B,0D,4E
0C,0C,4F
0D,0C,4F
0E,0C,4F
0F,0C,4F
10,0C,50
11,0C,50
12,0C,50
13,0C,51
14,0C,51
15,0C,52
16,0C,52
17,0C,52
18,0C,52
19,0C,52
1A,0C,52
1B,0D,52
1B,0D,52
1C,0D,52
1D,0D,52
1D,0E,51
1E,0E,50
1F,0F,4F
20,10,4E
21,10,4D
22,10,4C
23,11,4B
24,11,4A
1A,0C,52
1B,0D,52
1B,0D,52
1C,0D,52
1D,0D,52
1D,0E,51
1E,0E,50
1F,0F,4F
20,10,4E
21,10,4D
22,10,4C
23,11,4B
24,11,4A
25,11,49
26,11,48
27,12,48
28,12,47
29,12,46
2A,12,44
2A,12,43
0C,2C,46
0C,2C,47
0C,2C,48
0C,2D,48
0C,2E,48
0C,2F,48
0C,30,49
30,0C,49
31,0B,4A
31,0B,4B
31,0B,4C
32,0B,4D
33,0B,4E
34,0B,4E
35,0B,4F
36,0A,4F
37,0A,50
38,0A,51
39,0A,51
3A,0A,52
3B,0A,53
3C,0A,54
3D,09,54
3E,09,55
3F,09,55
40,09,56
41,09,56
42,09,57
43,09,57
44,09,58
45,09,58
46,09,58
47,09,59
48,09,59
49,09,5A
4A,09,5B
4B,0A,5C
4C,0B,5D
4C,0C,5E
4C,0D,5E
4C,0E,5E
4C,0E,5D
4C,0E,5D
4C,0E,5D
4C,0E,5C
4D,0E,5C
4E,0E,5C
4F,0F,5C
50,0F,5B
51,11,5A
52,12,58
53,14,54
54,16,50
55,17,4A
56,17,45
57,17,40
58,17,3C
59,16,3A
5A,15,39